sourceSequence,sourceFilename,number,reference,title,slug,shortDescription,alt,utensilType,purity,weightGrams,heightInches,widthInches,diameterInches,imagePath
53,WhatsApp Image 2026-08-05 at 2.50.45 PM.jpeg,53,DDA-UT-PL-53,Mini Raised-Centre Silver Plate,mini-raised-centre-silver-plate,"Mini Raised-Centre Silver Plate in 99.80% pure silver, featuring a miniature round form with a subtly raised centre; supplied at 10 g with a diameter of 2 in.",Mini Raised-Centre Silver Plate showing a miniature round form with a subtly raised centre on the warm ivory DDA Silver background,plate,99.80,10,,,2,public/images/silver-utensils/mixed-utensils-2026-08-06/53-mini-raised-centre-silver-plate.png
54,WhatsApp Image 2026-08-05 at 2.52.14 PM.jpeg,54,DDA-UT-PL-54,Compact Triple-Ring Silver Plate,compact-triple-ring-silver-plate,"Compact Triple-Ring Silver Plate in 99.80% pure silver, featuring a petite profile defined by three circular rim lines; supplied at 15 g with a diameter of 2.5 in.",Compact Triple-Ring Silver Plate showing a petite profile defined by three circular rim lines on the warm ivory DDA Silver background,plate,99.80,15,,,2.5,public/images/silver-utensils/mixed-utensils-2026-08-06/54-compact-triple-ring-silver-plate.png
55,WhatsApp Image 2026-08-05 at 2.54.02 PM.jpeg,55,DDA-UT-PL-55,Broad-Rim Three-Inch Silver Plate,broad-rim-three-inch-silver-plate,"Broad-Rim Three-Inch Silver Plate in 99.80% pure silver, featuring a small recessed centre framed by a broad polished rim; supplied at 20 g with a diameter of 3 in.",Broad-Rim Three-Inch Silver Plate showing a small recessed centre framed by a broad polished rim on the warm ivory DDA Silver background,plate,99.80,20,,,3,public/images/silver-utensils/mixed-utensils-2026-08-06/55-broad-rim-three-inch-silver-plate.png
56,WhatsApp Image 2026-08-05 at 2.56.08 PM.jpeg,56,DDA-UT-PL-56,Stepped-Rim Three-and-a-Half-Inch Silver Plate,stepped-rim-three-and-half-inch-silver-plate,"Stepped-Rim Three-and-a-Half-Inch Silver Plate in 99.80% pure silver, featuring a shallow centre and crisp stepped rim; supplied at 30 g with a diameter of 3.5 in.",Stepped-Rim Three-and-a-Half-Inch Silver Plate showing a shallow centre and crisp stepped rim on the warm ivory DDA Silver background,plate,99.80,30,,,3.5,public/images/silver-utensils/mixed-utensils-2026-08-06/56-stepped-rim-three-and-half-inch-silver-plate.png
57,WhatsApp Image 2026-08-05 at 2.57.46 PM.jpeg,57,DDA-UT-PL-57,Ringed Four-Inch Silver Plate,ringed-four-inch-silver-plate,"Ringed Four-Inch Silver Plate in 99.80% pure silver, featuring a compact round profile with clean circular ring detailing; supplied at 40 g with a diameter of 4 in.",Ringed Four-Inch Silver Plate showing a compact round profile with clean circular ring detailing on the warm ivory DDA Silver background,plate,99.80,40,,,4,public/images/silver-utensils/mixed-utensils-2026-08-06/57-ringed-four-inch-silver-plate.png
58,WhatsApp Image 2026-08-05 at 2.59.45 PM.jpeg,58,DDA-UT-PL-58,Ringed Five-Inch Silver Plate,ringed-five-inch-silver-plate,"Ringed Five-Inch Silver Plate in 99.80% pure silver, featuring a shallow five-inch form with an orderly ringed rim; supplied at 50 g with a diameter of 5 in.",Ringed Five-Inch Silver Plate showing a shallow five-inch form with an orderly ringed rim on the warm ivory DDA Silver background,plate,99.80,50,,,5,public/images/silver-utensils/mixed-utensils-2026-08-06/58-ringed-five-inch-silver-plate.png
59,WhatsApp Image 2026-08-05 at 3.01.15 PM.jpeg,59,DDA-UT-PL-59,Raised-Rim Six-Inch Silver Plate,raised-rim-six-inch-silver-plate,"Raised-Rim Six-Inch Silver Plate in 99.80% pure silver, featuring a smooth centre and gently raised serving rim; supplied at 75 g with a diameter of 6 in.",Raised-Rim Six-Inch Silver Plate showing a smooth centre and gently raised serving rim on the warm ivory DDA Silver background,plate,99.80,75,,,6,public/images/silver-utensils/mixed-utensils-2026-08-06/59-raised-rim-six-inch-silver-plate.png
60,WhatsApp Image 2026-08-05 at 3.02.43 PM.jpeg,60,DDA-UT-PL-60,Raised-Rim Six-and-a-Half-Inch Silver Plate,raised-rim-six-and-half-inch-silver-plate,"Raised-Rim Six-and-a-Half-Inch Silver Plate in 99.80% pure silver, featuring a softly recessed centre with a defined raised edge; supplied at 100 g with a diameter of 6.5 in.",Raised-Rim Six-and-a-Half-Inch Silver Plate showing a softly recessed centre with a defined raised edge on the warm ivory DDA Silver background,plate,99.80,100,,,6.5,public/images/silver-utensils/mixed-utensils-2026-08-06/60-raised-rim-six-and-half-inch-silver-plate.png
61,WhatsApp Image 2026-08-05 at 3.03.51 PM.jpeg,61,DDA-UT-PL-61,Raised-Rim Seven-Inch Silver Plate,raised-rim-seven-inch-silver-plate,"Raised-Rim Seven-Inch Silver Plate in 99.80% pure silver, featuring a balanced seven-inch surface and polished raised rim; supplied at 125 g with a diameter of 7 in.",Raised-Rim Seven-Inch Silver Plate showing a balanced seven-inch surface and polished raised rim on the warm ivory DDA Silver background,plate,99.80,125,,,7,public/images/silver-utensils/mixed-utensils-2026-08-06/61-raised-rim-seven-inch-silver-plate.png
62,WhatsApp Image 2026-08-05 at 3.05.14 PM.jpeg,62,DDA-UT-PL-62,Raised-Rim Seven-and-a-Half-Inch Silver Plate,raised-rim-seven-and-half-inch-silver-plate,"Raised-Rim Seven-and-a-Half-Inch Silver Plate in 99.80% pure silver, featuring a broad shallow centre bordered by a neat raised rim; supplied at 150 g with a diameter of 7.5 in.",Raised-Rim Seven-and-a-Half-Inch Silver Plate showing a broad shallow centre bordered by a neat raised rim on the warm ivory DDA Silver background,plate,99.80,150,,,7.5,public/images/silver-utensils/mixed-utensils-2026-08-06/62-raised-rim-seven-and-half-inch-silver-plate.png
63,WhatsApp Image 2026-08-05 at 3.06.18 PM.jpeg,63,DDA-UT-PL-63,Raised-Rim Nine-Inch Silver Plate,raised-rim-nine-inch-silver-plate,"Raised-Rim Nine-Inch Silver Plate in 99.80% pure silver, featuring a generous nine-inch serving surface and gently elevated edge; supplied at 200 g with a diameter of 9 in.",Raised-Rim Nine-Inch Silver Plate showing a generous nine-inch serving surface and gently elevated edge on the warm ivory DDA Silver background,plate,99.80,200,,,9,public/images/silver-utensils/mixed-utensils-2026-08-06/63-raised-rim-nine-inch-silver-plate.png
64,WhatsApp Image 2026-08-05 at 3.07.24 PM.jpeg,64,DDA-UT-PL-64,Raised-Rim Ten-Inch Silver Plate,raised-rim-ten-inch-silver-plate,"Raised-Rim Ten-Inch Silver Plate in 99.80% pure silver, featuring a wide polished centre with a clean raised border; supplied at 250 g with a diameter of 10 in.",Raised-Rim Ten-Inch Silver Plate showing a wide polished centre with a clean raised border on the warm ivory DDA Silver background,plate,99.80,250,,,10,public/images/silver-utensils/mixed-utensils-2026-08-06/64-raised-rim-ten-inch-silver-plate.png
65,WhatsApp Image 2026-08-05 at 3.09.27 PM.jpeg,65,DDA-UT-PL-65,Twin-Line Eleven-Inch Silver Plate,twin-line-eleven-inch-silver-plate,"Twin-Line Eleven-Inch Silver Plate in 99.80% pure silver, featuring a broad serving profile accented by twin circular rim lines; supplied at 300 g with a diameter of 11 in.",Twin-Line Eleven-Inch Silver Plate showing a broad serving profile accented by twin circular rim lines on the warm ivory DDA Silver background,plate,99.80,300,,,11,public/images/silver-utensils/mixed-utensils-2026-08-06/65-twin-line-eleven-inch-silver-plate.png
66,WhatsApp Image 2026-08-05 at 3.09.38 PM.jpeg,66,DDA-UT-PL-66,Wide-Rim Eleven-Inch Silver Plate,wide-rim-eleven-inch-silver-plate,"Wide-Rim Eleven-Inch Silver Plate in 99.80% pure silver, featuring a separately photographed eleven-inch form with a wide polished rim; supplied at 300 g with a diameter of 11 in.",Wide-Rim Eleven-Inch Silver Plate showing a separately photographed eleven-inch form with a wide polished rim on the warm ivory DDA Silver background,plate,99.80,300,,,11,public/images/silver-utensils/mixed-utensils-2026-08-06/66-wide-rim-eleven-inch-silver-plate.png
67,WhatsApp Image 2026-08-05 at 3.10.57 PM.jpeg,67,DDA-UT-PL-67,Raised-Rim Twelve-Inch Silver Plate,raised-rim-twelve-inch-silver-plate,"Raised-Rim Twelve-Inch Silver Plate in 99.80% pure silver, featuring a substantial twelve-inch serving area and defined raised edge; supplied at 400 g with a diameter of 12 in.",Raised-Rim Twelve-Inch Silver Plate showing a substantial twelve-inch serving area and defined raised edge on the warm ivory DDA Silver background,plate,99.80,400,,,12,public/images/silver-utensils/mixed-utensils-2026-08-06/67-raised-rim-twelve-inch-silver-plate.png
68,WhatsApp Image 2026-08-05 at 3.11.46 PM.jpeg,68,DDA-UT-PL-68,Raised-Rim Thirteen-Inch Silver Plate,raised-rim-thirteen-inch-silver-plate,"Raised-Rim Thirteen-Inch Silver Plate in 99.80% pure silver, featuring a large shallow centre surrounded by a smoothly raised rim; supplied at 500 g with a diameter of 13 in.",Raised-Rim Thirteen-Inch Silver Plate showing a large shallow centre surrounded by a smoothly raised rim on the warm ivory DDA Silver background,plate,99.80,500,,,13,public/images/silver-utensils/mixed-utensils-2026-08-06/68-raised-rim-thirteen-inch-silver-plate.png
69,WhatsApp Image 2026-08-05 at 3.12.23 PM.jpeg,69,DDA-UT-PL-69,Raised-Rim Fourteen-Inch Silver Plate,raised-rim-fourteen-inch-silver-plate,"Raised-Rim Fourteen-Inch Silver Plate in 99.80% pure silver, featuring the broadest plate in the set with a clean elevated border; supplied at 600 g with a diameter of 14 in.",Raised-Rim Fourteen-Inch Silver Plate showing the broadest plate in the set with a clean elevated border on the warm ivory DDA Silver background,plate,99.80,600,,,14,public/images/silver-utensils/mixed-utensils-2026-08-06/69-raised-rim-fourteen-inch-silver-plate.png
70,WhatsApp Image 2026-08-05 at 3.20.25 PM.jpeg,70,DDA-UT-JG-70,Tall Linear-Band Silver Jug,tall-linear-band-silver-jug,"Tall Linear-Band Silver Jug in 99.80% pure silver, featuring a tall cylindrical body, horizontal line finish and curved handle; supplied at 150 g with a height of 5 in.","Tall Linear-Band Silver Jug showing a tall cylindrical body, horizontal line finish and curved handle on the warm ivory DDA Silver background",jug,99.80,150,5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/70-tall-linear-band-silver-jug.png
71,WhatsApp Image 2026-08-05 at 3.21.37 PM.jpeg,71,DDA-UT-JG-71,Double-Band Silver Jug,double-band-silver-jug,"Double-Band Silver Jug in 99.80% pure silver, featuring a straight-sided body, double polished bands and sturdy handle; supplied at 200 g with a height of 5.5 in.","Double-Band Silver Jug showing a straight-sided body, double polished bands and sturdy handle on the warm ivory DDA Silver background",jug,99.80,200,5.5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/71-double-band-silver-jug.png
72,WhatsApp Image 2026-08-05 at 3.22.25 PM.jpeg,72,DDA-UT-JG-72,Classic Linear Silver Jug,classic-linear-silver-jug,"Classic Linear Silver Jug in 99.80% pure silver, featuring a classic handled silhouette, linear texture and rounded handle; supplied at 250 g with a height of 5.5 in.","Classic Linear Silver Jug showing a classic handled silhouette, linear texture and rounded handle on the warm ivory DDA Silver background",jug,99.80,250,5.5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/72-classic-linear-silver-jug.png
73,WhatsApp Image 2026-08-05 at 3.23.22 PM.jpeg,73,DDA-UT-JG-73,Tall Double-Band Silver Jug,tall-double-band-silver-jug,"Tall Double-Band Silver Jug in 99.80% pure silver, featuring a taller handled profile with paired horizontal accent bands; supplied at 300 g with a height of 6 in.",Tall Double-Band Silver Jug showing a taller handled profile with paired horizontal accent bands on the warm ivory DDA Silver background,jug,99.80,300,6,,,public/images/silver-utensils/mixed-utensils-2026-08-06/73-tall-double-band-silver-jug.png
74,WhatsApp Image 2026-08-05 at 3.30.09 PM.jpeg,74,DDA-UT-JG-74,Lidded Linear Silver Jug,lidded-linear-silver-jug,"Lidded Linear Silver Jug in 99.80% pure silver, featuring a fitted lid, curved handle and fine horizontal surface lines; supplied at 400 g with a height of 7.5 in.","Lidded Linear Silver Jug showing a fitted lid, curved handle and fine horizontal surface lines on the warm ivory DDA Silver background",jug,99.80,400,7.5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/74-lidded-linear-silver-jug.png
75,WhatsApp Image 2026-08-05 at 3.31.07 PM.jpeg,75,DDA-UT-JG-75,Large Lidded Linear Silver Jug,large-lidded-linear-silver-jug,"Large Lidded Linear Silver Jug in 99.80% pure silver, featuring a tall lidded body, generous handle and linear finish; supplied at 500 g with a height of 8 in.","Large Lidded Linear Silver Jug showing a tall lidded body, generous handle and linear finish on the warm ivory DDA Silver background",jug,99.80,500,8,,,public/images/silver-utensils/mixed-utensils-2026-08-06/75-large-lidded-linear-silver-jug.png
76,WhatsApp Image 2026-08-05 at 3.41.09 PM.jpeg,76,DDA-UT-KL-76,Mini Rounded Silver Kalash,mini-rounded-silver-kalash,"Mini Rounded Silver Kalash in 99.80% pure silver, featuring a miniature rounded belly, narrow neck and flared rim; supplied at 25 g with a height of 2 in.","Mini Rounded Silver Kalash showing a miniature rounded belly, narrow neck and flared rim on the warm ivory DDA Silver background",kalash,99.80,25,2,,,public/images/silver-utensils/mixed-utensils-2026-08-06/76-mini-rounded-silver-kalash.png
77,WhatsApp Image 2026-08-05 at 3.42.10 PM.jpeg,77,DDA-UT-KL-77,Compact Rounded Silver Kalash,compact-rounded-silver-kalash,"Compact Rounded Silver Kalash in 99.80% pure silver, featuring a compact bulbous body with a rolled open rim; supplied at 40 g with a height of 2.5 in.",Compact Rounded Silver Kalash showing a compact bulbous body with a rolled open rim on the warm ivory DDA Silver background,kalash,99.80,40,2.5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/77-compact-rounded-silver-kalash.png
78,WhatsApp Image 2026-08-05 at 3.44.55 PM.jpeg,78,DDA-UT-KL-78,Broad Rounded Silver Kalash,broad-rounded-silver-kalash,"Broad Rounded Silver Kalash in 99.80% pure silver, featuring a broad low body, narrow neck and polished flared lip; supplied at 50 g with a height of 2.5 in.","Broad Rounded Silver Kalash showing a broad low body, narrow neck and polished flared lip on the warm ivory DDA Silver background",kalash,99.80,50,2.5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/78-broad-rounded-silver-kalash.png
79,WhatsApp Image 2026-08-05 at 3.45.21 PM.jpeg,79,DDA-UT-KL-79,Low-Profile Rounded Silver Kalash,low-profile-rounded-silver-kalash,"Low-Profile Rounded Silver Kalash in 99.80% pure silver, featuring a low rounded profile with fine horizontal line work; supplied at 40 g with a height of 2.2 in.",Low-Profile Rounded Silver Kalash showing a low rounded profile with fine horizontal line work on the warm ivory DDA Silver background,kalash,99.80,40,2.2,,,public/images/silver-utensils/mixed-utensils-2026-08-06/79-low-profile-rounded-silver-kalash.png
80,WhatsApp Image 2026-08-05 at 3.46.08 PM.jpeg,80,DDA-UT-KL-80,Classic Rounded Silver Kalash,classic-rounded-silver-kalash,"Classic Rounded Silver Kalash in 99.80% pure silver, featuring a classic spherical belly and neatly rolled rim; supplied at 75 g with a height of 3 in.",Classic Rounded Silver Kalash showing a classic spherical belly and neatly rolled rim on the warm ivory DDA Silver background,kalash,99.80,75,3,,,public/images/silver-utensils/mixed-utensils-2026-08-06/80-classic-rounded-silver-kalash.png
81,WhatsApp Image 2026-08-05 at 3.48.48 PM.jpeg,81,DDA-UT-KL-81,Tall Rounded Silver Kalash,tall-rounded-silver-kalash,"Tall Rounded Silver Kalash in 99.80% pure silver, featuring a slightly taller rounded form with clean band accents; supplied at 100 g with a height of 3.2 in.",Tall Rounded Silver Kalash showing a slightly taller rounded form with clean band accents on the warm ivory DDA Silver background,kalash,99.80,100,3.2,,,public/images/silver-utensils/mixed-utensils-2026-08-06/81-tall-rounded-silver-kalash.png
82,WhatsApp Image 2026-08-05 at 3.51.42 PM.jpeg,82,DDA-UT-KL-82,Wide Rounded Silver Kalash,wide-rounded-silver-kalash,"Wide Rounded Silver Kalash in 99.80% pure silver, featuring a wider belly, short neck and flared open rim; supplied at 125 g with a height of 3.5 in.","Wide Rounded Silver Kalash showing a wider belly, short neck and flared open rim on the warm ivory DDA Silver background",kalash,99.80,125,3.5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/82-wide-rounded-silver-kalash.png
83,WhatsApp Image 2026-08-05 at 3.54.31 PM.jpeg,83,DDA-UT-KL-83,Curved Rounded Silver Kalash,curved-rounded-silver-kalash,"Curved Rounded Silver Kalash in 99.80% pure silver, featuring a full curved body with contrasting polished bands; supplied at 150 g with a height of 3.9 in.",Curved Rounded Silver Kalash showing a full curved body with contrasting polished bands on the warm ivory DDA Silver background,kalash,99.80,150,3.9,,,public/images/silver-utensils/mixed-utensils-2026-08-06/83-curved-rounded-silver-kalash.png
84,WhatsApp Image 2026-08-05 at 3.58.58 PM.jpeg,84,DDA-UT-KL-84,Four-Inch Rounded Silver Kalash,four-inch-rounded-silver-kalash,"Four-Inch Rounded Silver Kalash in 99.80% pure silver, featuring a balanced four-inch form with a rounded belly and rolled lip; supplied at 200 g with a height of 4 in.",Four-Inch Rounded Silver Kalash showing a balanced four-inch form with a rounded belly and rolled lip on the warm ivory DDA Silver background,kalash,99.80,200,4,,,public/images/silver-utensils/mixed-utensils-2026-08-06/84-four-inch-rounded-silver-kalash.png
85,WhatsApp Image 2026-08-05 at 4.01.55 PM.jpeg,85,DDA-UT-KL-85,Wide-Neck Rounded Silver Kalash,wide-neck-rounded-silver-kalash,"Wide-Neck Rounded Silver Kalash in 99.80% pure silver, featuring a full rounded body with a wider neck and flared rim; supplied at 250 g with a height of 4.5 in.",Wide-Neck Rounded Silver Kalash showing a full rounded body with a wider neck and flared rim on the warm ivory DDA Silver background,kalash,99.80,250,4.5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/85-wide-neck-rounded-silver-kalash.png
86,WhatsApp Image 2026-08-05 at 4.03.43 PM.jpeg,86,DDA-UT-KL-86,Five-Inch Rounded Silver Kalash,five-inch-rounded-silver-kalash,"Five-Inch Rounded Silver Kalash in 99.80% pure silver, featuring a five-inch rounded body with polished band detailing; supplied at 300 g with a height of 5 in.",Five-Inch Rounded Silver Kalash showing a five-inch rounded body with polished band detailing on the warm ivory DDA Silver background,kalash,99.80,300,5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/86-five-inch-rounded-silver-kalash.png
87,WhatsApp Image 2026-08-05 at 4.05.02 PM.jpeg,87,DDA-UT-KL-87,Broad Five-Inch Rounded Silver Kalash,broad-five-inch-rounded-silver-kalash,"Broad Five-Inch Rounded Silver Kalash in 99.80% pure silver, featuring a broader five-inch belly, short neck and open rolled rim; supplied at 400 g with a height of 5 in.","Broad Five-Inch Rounded Silver Kalash showing a broader five-inch belly, short neck and open rolled rim on the warm ivory DDA Silver background",kalash,99.80,400,5,,,public/images/silver-utensils/mixed-utensils-2026-08-06/87-broad-five-inch-rounded-silver-kalash.png
88,WhatsApp Image 2026-08-05 at 4.05.54 PM.jpeg,88,DDA-UT-KL-88,Large Six-Inch Rounded Silver Kalash,large-six-inch-rounded-silver-kalash,"Large Six-Inch Rounded Silver Kalash in 99.80% pure silver, featuring a large six-inch silhouette with a rounded belly and flared lip; supplied at 500 g with a height of 6 in.",Large Six-Inch Rounded Silver Kalash showing a large six-inch silhouette with a rounded belly and flared lip on the warm ivory DDA Silver background,kalash,99.80,500,6,,,public/images/silver-utensils/mixed-utensils-2026-08-06/88-large-six-inch-rounded-silver-kalash.png
